Stock Name,Time Frame,Zone,Entry Price,Stop Loss,Legout Date,Validation Issue,Zone Perfection,Entry Date,Status,Diff,Qty,Tgt,Yahoo Symbol,Last Close Price,Highligh
RECLTD,2 HR,DZ,351.1,347.1,12-01-2023,Legout cover,Perfect Zone,,,4.0,12.5,20.0,RECLTD.NS,381.55,
RELIANCE,2 HR,SZ,1546.0,1553.0,07-09-2025,All OK Zone,Perfect Zone,,,-7.0,-7.142857143,-35.0,RELIANCE.NS,1373.8,
SAIL,2 HR,DZ,120.4,119.5,08-04-2025,All OK Zone,Perfect Zone,,,0.9000000000000057,55.55555556,4.5,SAIL.NS,120.37,Green
SAIL,2 HR,SZ,135.9,137.2,7/25/2025,Legin Candle m wick thoda jyda h,Doubt Zone,,,-1.299999999999983,-38.46153846,-6.5,SAIL.NS,120.37,
SBICARD,2 HR,DZ,678.5,674.5,01-02-2025,Love at first Sight Missing,Perfect Zone,,,4.0,12.5,20.0,SBICARD.NS,789.35,
SBICARD,1 HR,SZ,908.1,911.0,7/18/2025,Legout Formation / Wick jyda legout m,Doubt Zone,,,-2.8999999999999773,-17.24137931,-14.5,SBICARD.NS,789.35,
SBILIFE,2 HR,DZ,1756.0,1746.5,6/16/2025,No White Area,Not Perfect,,,9.5,5.263157895,47.5,SBILIFE.NS,1840.6,
TATACONSUM,2 HR,SZ,1193.0,1201.0,10-03-2024,UOC size big not gud zone,Doubt Zone,,,-8.0,-6.25,-40.0,TATACONSUM.NS,1051.2,
TATACONSUM,2 HR,DZ,783.0,780.45,06-07-2023,Legout cover,Doubt Zone,,,2.5499999999999545,19.60784314,12.75,TATACONSUM.NS,1051.2,
TATAMOTORS,2 HR,SZ,711.1,715.5,6/16/2025,All Ok Zone But gurudev mana kia,Doubt Zone,,,-4.399999999999977,-11.36363636,-22.0,TATAMOTORS.NS,664.6,
TATAMOTORS,2 HR,SZ,877.0,889.25,10/29/2024,"Legout cross legin , Trap Only",Not Perfect,,,-12.25,-4.081632653,-61.25,TATAMOTORS.NS,664.6,
TATAMOTORS,2 HR,DZ,478.2,475.2,05-08-2023,All Ok Zone,Perfect Zone,,,3.0,16.66666667,15.0,TATAMOTORS.NS,664.6,
TATAPOWER,2 HR,DZ,372.5,369.25,05-12-2025,Minor Legout Formation Issue,Perfect Zone,,,3.25,15.38461538,16.25,TATAPOWER.NS,385.3,
TATASTEEL,2 HR,DZ,153.5,152.3,08-04-2025,All Ok Zone,Perfect Zone,,,1.1999999999999886,41.66666667,6.0,TATASTEEL.NS,155.3,
TATASTEEL,2 HR,DZ,123.3,122.45,1/14/2025,Legout Size,Perfect Zone,,,0.8499999999999943,58.82352941,4.25,TATASTEEL.NS,155.3,
TECHM,2 HR,SZ,1605.0,1615.0,7/17/2025,Legout Formation / Wick jyda legout m,Doubt Zone,,,-10.0,-5.0,-50.0,TECHM.NS,1486.7,
TORNTPHARM,2 HR,DZ,2528.0,2515.0,05-10-2024,All Ok Zone,Perfect Zone,,,13.0,3.846153846,65.0,TORNTPHARM.NS,3623.0,
